"","gbifID","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","locality","stateProvince","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters"
"3159041",2901507446,"Caryophyllales","Polygonaceae","Eriogonum","Eriogonum umbellatum","","SPECIES","Eriogonum umbellatum Torr.","Eriogonum umbellatum","","","Nevada",41.856208,-115.43273,6
"320685",3384377786,"Caryophyllales","Polygonaceae","Eriogonum","Eriogonum umbellatum","","SPECIES","Eriogonum umbellatum Torr.","Eriogonum umbellatum","","","Nevada",41.780503,-115.475075,4
"320964",4162171470,"Caryophyllales","Polygonaceae","Eriogonum","Eriogonum strictum","proliferum","VARIETY","Eriogonum strictum var. proliferum (Torr. & A.Gray) C.L.Hitchc.","Eriogonum strictum proliferum","","","Nevada",41.62252,-116.215592,4
"323580",3321276552,"Caryophyllales","Polygonaceae","Eriogonum","Eriogonum strictum","proliferum","VARIETY","Eriogonum strictum var. proliferum (Torr. & A.Gray) C.L.Hitchc.","Eriogonum strictum proliferum","","","Nevada",41.851833,-115.42785,8
"325049",3307430478,"Caryophyllales","Polygonaceae","Eriogonum","Eriogonum heracleoides","heracleoides","VARIETY","Eriogonum heracleoides var. heracleoides","Eriogonum heracleoides heracleoides","","","Nevada",41.77597,-115.795503,31
"3264472",1847580996,"Caryophyllales","Polygonaceae","Eriogonum","Eriogonum caespitosum","","SPECIES","Eriogonum caespitosum Nutt.","Eriogonum caespitosum","","","Nevada",41.68565,-115.806763,5
"3323372",3321121350,"Caryophyllales","Polygonaceae","Eriogonum","Eriogonum heracleoides","","SPECIES","Eriogonum heracleoides Nutt.","Eriogonum heracleoides","","","Nevada",41.68798,-115.805078,5
"351886",3384634810,"Caryophyllales","Polygonaceae","Eriogonum","Eriogonum heracleoides","","SPECIES","Eriogonum heracleoides Nutt.","Eriogonum heracleoides","","","Nevada",41.748558,-115.475992,25
"360406",3455512734,"Caryophyllales","Polygonaceae","Eriogonum","Eriogonum vimineum","","SPECIES","Eriogonum vimineum Douglas ex Benth.","Eriogonum vimineum","","","Nevada",41.630428,-115.793961,4
"3722002",3384230783,"Caryophyllales","Polygonaceae","Eriogonum","Eriogonum desertorum","","SPECIES","Eriogonum lewisii Reveal","Eriogonum lewisii","","","Nevada",41.58268,-115.56645,20
"372561",3307446710,"Caryophyllales","Polygonaceae","Eriogonum","Eriogonum douglasii","elkoense","VARIETY","Eriogonum douglasii var. elkoense Reveal","Eriogonum douglasii elkoense","","","Nevada",41.777204,-115.792742,15
"3814831",3320968462,"Caryophyllales","Polygonaceae","Eriogonum","Eriogonum strictum","proliferum","VARIETY","Eriogonum strictum var. proliferum (Torr. & A.Gray) C.L.Hitchc.","Eriogonum strictum proliferum","","","Nevada",41.781017,-115.789956,13
"3852652",3455547535,"Caryophyllales","Polygonaceae","Eriogonum","Eriogonum vimineum","","SPECIES","Eriogonum vimineum Douglas ex Benth.","Eriogonum vimineum","","","Nevada",41.721931,-115.485733,47
"387673",3966561157,"Caryophyllales","Polygonaceae","Eriogonum","Eriogonum microtheca","laxiflorum","VARIETY","Eriogonum microtheca var. laxiflorum Hook.","Eriogonum microtheca laxiflorum","","","Nevada",41.706933,-116.803612,12
"460979",3383961787,"Caryophyllales","Polygonaceae","Eriogonum","Eriogonum heracleoides","","SPECIES","Eriogonum heracleoides Nutt.","Eriogonum heracleoides","","","Nevada",41.729088,-115.690178,4
"4652011",4067241489,"Caryophyllales","Polygonaceae","Rumex","Rumex acetosella","","SPECIES","Rumex acetosella L.","Rumex acetosella","","","Nevada",41.830128,-115.456322,17
