"","gbifID","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","locality","stateProvince","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters"
"24503",4171205463,"Asterales","Asteraceae","Lactuca","Lactuca serriola","","SPECIES","Lactuca serriola L.","Lactuca serriola","","","Utah",38.63008,-112.127844,4
"46624",3889196903,"Asterales","Asteraceae","Arnica","Arnica mollis","","SPECIES","Arnica mollis Hook.","Arnica mollis","","","Utah",38.43277,-112.40097,40
"59485",3399178946,"Asterales","Asteraceae","Achillea","Achillea millefolium","","SPECIES","Achillea millefolium L.","Achillea millefolium","","","Utah",38.353413,-112.36129,10
"74968",3985632767,"Asterales","Asteraceae","Gutierrezia","Gutierrezia sarothrae","","SPECIES","Gutierrezia sarothrae (Pursh) Britton & Rusby","Gutierrezia sarothrae","","","Utah",38.558399,-112.451309,7
"122267",4416671858,"Asterales","Asteraceae","Hymenopappus","Hymenopappus filifolius","","SPECIES","Hymenopappus filifolius Hook.","Hymenopappus filifolius","","","Utah",38.409011,-112.647903,5
"147202",3061676456,"Asterales","Asteraceae","Artemisia","Artemisia frigida","","SPECIES","Artemisia frigida Willd.","Artemisia frigida","","","Utah",38.570103,-112.349381,12
"194063",4137578809,"Asterales","Asteraceae","Packera","Packera multilobata","","SPECIES","Packera multilobata (Torr. & A.Gray ex A.Gray) W.A.Weber & Á.Löve","Packera multilobata","","","Utah",38.583033,-112.430947,5
"198660",4414329229,"Asterales","Asteraceae","Erigeron","Erigeron aphanactis","","SPECIES","Erigeron aphanactis (A.Gray) Greene","Erigeron aphanactis","","","Utah",38.403256,-112.642883,4
"201725",3314514299,"Asterales","Asteraceae","Chaenactis","Chaenactis douglasii","","SPECIES","Chaenactis douglasii (Hook.) Hook. & Arn.","Chaenactis douglasii","","","Utah",38.303304,-112.426877,38
"263646",2823140320,"Asterales","Asteraceae","Hymenoxys","Hymenoxys hoopesii","","SPECIES","Hymenoxys hoopesii (A.Gray) Bierner","Hymenoxys hoopesii","","","Utah",38.344342,-112.354198,5
"320070",4096983800,"Asterales","Asteraceae","Artemisia","Artemisia tridentata","","SPECIES","Artemisia tridentata (Nutt.) W.A.Weber","Artemisia tridentata","","","Utah",38.580242,-112.331115,3
"347713",4405125577,"Asterales","Asteraceae","Layia","Layia glandulosa","","SPECIES","Layia glandulosa (Hook.) Hook. & Arn.","Layia glandulosa","","","Utah",38.406114,-112.836194,22
"380495",1898802796,"Asterales","Asteraceae","Artemisia","Artemisia tridentata","","SPECIES","Artemisia tridentata (Nutt.) W.A.Weber","Artemisia tridentata","","","Utah",38.352567,-112.220582,8
"385024",1901032804,"Asterales","Asteraceae","Artemisia","Artemisia tridentata","","SPECIES","Artemisia tridentata (Nutt.) W.A.Weber","Artemisia tridentata","","","Utah",38.485198,-112.243921,8
"393530",4011499522,"Asterales","Asteraceae","Ericameria","Ericameria discoidea","","SPECIES","Ericameria discoidea (Nutt.) G.L.Nesom","Ericameria discoidea","","","Utah",38.431453,-112.40258,10
"396634",3090628718,"Asterales","Asteraceae","Ericameria","Ericameria nauseosa","","SPECIES","Ericameria nauseosa (Pall. ex Pursh) G.L.Nesom & G.I.Baird","Ericameria nauseosa","","","Utah",38.884875,-112.387497,10
"471712",1901032803,"Asterales","Asteraceae","Artemisia","Artemisia tridentata","","SPECIES","Artemisia tridentata (Nutt.) W.A.Weber","Artemisia tridentata","","","Utah",38.510156,-112.260408,12
"562363",3773616349,"Asterales","Asteraceae","Wyethia","Wyethia sagittata","","SPECIES","Balsamorhiza sagittata (Pursh) Nutt.","Balsamorhiza sagittata","","","Utah",38.589418,-112.531904,5
"637535",3384523530,"Asterales","Asteraceae","Ericameria","Ericameria nauseosa","","SPECIES","Ericameria nauseosa (Pall. ex Pursh) G.L.Nesom & G.I.Baird","Ericameria nauseosa","","","Utah",38.885005,-112.387405,5
"639681",3986073565,"Asterales","Asteraceae","Lactuca","Lactuca serriola","","SPECIES","Lactuca serriola L.","Lactuca serriola","","","Utah",38.63013,-112.127652,5
"668691",3067689837,"Asterales","Asteraceae","Ericameria","Ericameria nauseosa","","SPECIES","Ericameria nauseosa (Pall. ex Pursh) G.L.Nesom & G.I.Baird","Ericameria nauseosa","","","Utah",38.547836,-112.268571,8
"772596",3061542475,"Asterales","Asteraceae","Artemisia","Artemisia frigida","","SPECIES","Artemisia frigida Willd.","Artemisia frigida","","","Utah",38.570297,-112.34945,17
"811583",1898802833,"Asterales","Asteraceae","Artemisia","Artemisia tridentata","","SPECIES","Artemisia tridentata (Nutt.) W.A.Weber","Artemisia tridentata","","","Utah",38.491372,-112.244749,12
"869745",4102644963,"Asterales","Asteraceae","Rudbeckia","Rudbeckia occidentalis","","SPECIES","Rudbeckia occidentalis Nutt.","Rudbeckia occidentalis","","","Utah",38.926228,-112.221253,12
"869868",3124756498,"Asterales","Asteraceae","Senecio","Senecio integerrimus","","SPECIES","Senecio integerrimus Nutt.","Senecio integerrimus","","","Utah",38.888267,-112.337692,10
"931192",3124505442,"Asterales","Asteraceae","Wyethia","Wyethia sagittata","","SPECIES","Balsamorhiza sagittata (Pursh) Nutt.","Balsamorhiza sagittata","","","Utah",38.885947,-112.318703,5
"954598",4137949604,"Asterales","Asteraceae","Artemisia","Artemisia tridentata","","SPECIES","Artemisia tridentata (Nutt.) W.A.Weber","Artemisia tridentata","","","Utah",38.949009,-112.344912,17
"21388",4421178521,"Ericales","Ericaceae","Arctostaphylos","Arctostaphylos patula","","SPECIES","Arctostaphylos patula Greene","Arctostaphylos patula","","","Utah",38.323587,-112.843047,10
"22979",3859785682,"Ericales","Primulaceae","Primula","Primula parryi","","SPECIES","Primula parryi A.Gray","Primula parryi","","","Utah",38.383651,-112.358208,7
"26673",3314585377,"Ericales","Polemoniaceae","Ipomopsis","Ipomopsis tenuituba","","SPECIES","Ipomopsis tenuituba (Rydb.) V.E.Grant","Ipomopsis tenuituba","","","Utah",38.303343,-112.426746,31
"39887",2242757574,"Ericales","Polemoniaceae","Phlox","Phlox longifolia","","SPECIES","Phlox longifolia Nutt.","Phlox longifolia","","","Utah",38.604728,-112.092544,12
"59178",3330680436,"Ericales","Polemoniaceae","Ipomopsis","Ipomopsis aggregata","","SPECIES","Ipomopsis aggregata (Pursh) V.E.Grant","Ipomopsis aggregata","","","Utah",38.529828,-112.39173,8
"83020",3415667808,"Ericales","Primulaceae","Primula","Primula parryi","","SPECIES","Primula parryi A.Gray","Primula parryi","","","Utah",38.36985,-112.371742,4
"84663",3337586714,"Ericales","Polemoniaceae","Ipomopsis","Ipomopsis tenuituba","","SPECIES","Ipomopsis tenuituba (Rydb.) V.E.Grant","Ipomopsis tenuituba","","","Utah",38.317813,-112.361595,5
