"","gbifID","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","locality","stateProvince","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","biome"
"55288",3112350286,"Boraginales","Boraginaceae","Myosotis","Myosotis verna","","SPECIES","Myosotis verna Nutt.","Myosotis verna","","","Arkansas",35.335732,-94.047916,19,"Southeastern Mixed Forest"
"57812",2529389126,"Boraginales","Boraginaceae","Lithospermum","Lithospermum incisum","","SPECIES","Lithospermum incisum Lehm.","Lithospermum incisum","","","Arkansas",35.33453,-94.04761,50,"Southeastern Mixed Forest"
"58795",4171851170,"Boraginales","Heliotropiaceae","Heliotropium","Heliotropium indicum","","SPECIES","Heliotropium indicum L.","Heliotropium indicum","","","Arkansas",35.424458,-93.48165,4,"Southeastern Mixed Forest"
"72721",2984511370,"Boraginales","Hydrophyllaceae","Phacelia","Phacelia hirsuta","","SPECIES","Phacelia hirsuta Nutt.","Phacelia hirsuta","","","Arkansas",35.370146,-93.835666,3,"Southeastern Mixed Forest"
"73061",3923607592,"Boraginales","Heliotropiaceae","Heliotropium","Heliotropium indicum","","SPECIES","Heliotropium indicum L.","Heliotropium indicum","","","Arkansas",35.290934,-94.38828,6,"Southeastern Mixed Forest"
"75249",2988327844,"Boraginales","Heliotropiaceae","Heliotropium","Heliotropium indicum","","SPECIES","Heliotropium indicum L.","Heliotropium indicum","","","Arkansas",35.29397,-93.140799,32,"Southeastern Mixed Forest"
"79661",2641362129,"Boraginales","Hydrophyllaceae","Phacelia","Phacelia glabra","","SPECIES","Phacelia glabra Nutt.","Phacelia glabra","","","Arkansas",35.358306,-93.998528,5,"Southeastern Mixed Forest"
"85083",3097215385,"Boraginales","Hydrophyllaceae","Nemophila","Nemophila phacelioides","","SPECIES","Nemophila phacelioides Barton","Nemophila phacelioides","","","Arkansas",35.458566,-93.467976,5,"Southeastern Mixed Forest"
"90832",4028789768,"Boraginales","Hydrophyllaceae","Phacelia","Phacelia glabra","","SPECIES","Phacelia glabra Nutt.","Phacelia glabra","","","Arkansas",35.357071,-93.998013,15,"Southeastern Mixed Forest"
"92542",4138004005,"Boraginales","Heliotropiaceae","Heliotropium","Heliotropium indicum","","SPECIES","Heliotropium indicum L.","Heliotropium indicum","","","Arkansas",35.29083,-94.388259,8,"Southeastern Mixed Forest"
"123155",4400324472,"Boraginales","Heliotropiaceae","Heliotropium","Heliotropium indicum","","SPECIES","Heliotropium indicum L.","Heliotropium indicum","","","Arkansas",35.366812,-94.348412,4,"Southeastern Mixed Forest"
"126381",3124668333,"Boraginales","Heliotropiaceae","Euploca","Euploca convolvulacea","","SPECIES","Euploca convolvulacea Nutt.","Euploca convolvulacea","","","Arkansas",35.34923,-94.28564,10,"Southeastern Mixed Forest"
"127229",2609104040,"Boraginales","Hydrophyllaceae","Phacelia","Phacelia ranunculacea","","SPECIES","Phacelia ranunculacea (Nutt.) Constance","Phacelia ranunculacea","","","Arkansas",35.303324,-93.166776,9,"Southeastern Mixed Forest"
"128883",4102576280,"Boraginales","Hydrophyllaceae","Phacelia","Phacelia hirsuta","","SPECIES","Phacelia hirsuta Nutt.","Phacelia hirsuta","","","Arkansas",35.41973,-94.420792,4,"Southeastern Mixed Forest"
"1645071",3384350823,"Celastrales","Celastraceae","Euonymus","Euonymus alatus","","SPECIES","Euonymus alatus (Thunb.) Siebold","Euonymus alatus","","","Arkansas",35.295385,-93.134511,23,"Southeastern Mixed Forest"
"179617",1838329441,"Celastrales","Celastraceae","Euonymus","Euonymus americanus","","SPECIES","Euonymus americanus L.","Euonymus americanus","","","Arkansas",35.437966,-93.205787,3,"Southeastern Mixed Forest"
"1816601",2251833329,"Ceratophyllales","Ceratophyllaceae","Ceratophyllum","Ceratophyllum demersum",NA,"SPECIES","Ceratophyllum demersum L.","Ceratophyllum demersum","","","Arkansas",35.358215,-93.347254,5,"Southeastern Mixed Forest"
"200740",3902180577,"Cornales","Cornaceae","Cornus","Cornus florida","","SPECIES","Cornus florida L.","Cornus florida","","","Arkansas",35.28357,-93.202882,9,"Southeastern Mixed Forest"
"201420",3902009755,"Cornales","Cornaceae","Cornus","Cornus florida","","SPECIES","Cornus florida L.","Cornus florida","","","Arkansas",35.304031,-93.166175,5,"Southeastern Mixed Forest"
"220355",2813876376,"Cornales","Cornaceae","Cornus","Cornus florida","","SPECIES","Cornus florida L.","Cornus florida","","","Arkansas",35.306701,-94.420702,5,"Southeastern Mixed Forest"
"224659",2423183008,"Cornales","Cornaceae","Cornus","Cornus florida","","SPECIES","Cornus florida L.","Cornus florida","","","Arkansas",35.305786,-93.14552,5,"Southeastern Mixed Forest"
"227446",2235538285,"Cornales","Cornaceae","Cornus","Cornus florida","","SPECIES","Cornus florida L.","Cornus florida","","","Arkansas",35.324547,-93.143377,17,"Southeastern Mixed Forest"
"2274471",2235536581,"Cornales","Cornaceae","Cornus","Cornus florida","","SPECIES","Cornus florida L.","Cornus florida","","","Arkansas",35.324516,-93.143353,6,"Southeastern Mixed Forest"
"229639",1838329252,"Cornales","Cornaceae","Cornus","Cornus florida","","SPECIES","Cornus florida L.","Cornus florida","","","Arkansas",35.414582,-93.238026,4,"Southeastern Mixed Forest"
"236938",4137788369,"Cucurbitales","Cucurbitaceae","Melothria","Melothria pendula","","SPECIES","Melothria pendula L.","Melothria pendula","","","Arkansas",35.467712,-93.558815,8,"Southeastern Mixed Forest"
"247615",3743194376,"Cucurbitales","Cucurbitaceae","Melothria","Melothria pendula","","SPECIES","Melothria pendula L.","Melothria pendula","","","Arkansas",35.362245,-94.349837,5,"Southeastern Mixed Forest"
"250297",3343818358,"Cucurbitales","Cucurbitaceae","Melothria","Melothria pendula","","SPECIES","Melothria pendula L.","Melothria pendula","","","Arkansas",35.438167,-93.583825,16,"Southeastern Mixed Forest"
"253847",2981081344,"Cucurbitales","Cucurbitaceae","Cucurbita","Cucurbita pepo","","SPECIES","Cucurbita pepo L.","Cucurbita pepo","","","Arkansas",35.284265,-93.119322,5,"Southeastern Mixed Forest"
"256570",2574076301,"Cucurbitales","Cucurbitaceae","Melothria","Melothria pendula","","SPECIES","Melothria pendula L.","Melothria pendula","","","Arkansas",35.301742,-93.167092,16,"Southeastern Mixed Forest"
"2755391",4054799083,"Geraniales","Geraniaceae","Erodium","Erodium cicutarium","","SPECIES","Erodium cicutarium (L.) L'Hér.","Erodium cicutarium","","","Arkansas",35.294109,-94.391068,4,"Southeastern Mixed Forest"
"275568",4054762066,"Geraniales","Geraniaceae","Erodium","Erodium cicutarium","","SPECIES","Erodium cicutarium (L.) L'Hér.","Erodium cicutarium","","","Arkansas",35.294267,-94.390325,6,"Southeastern Mixed Forest"
"276607",4028740529,"Geraniales","Geraniaceae","Geranium","Geranium carolinianum","","SPECIES","Geranium carolinianum L.","Geranium carolinianum","","","Arkansas",35.459378,-93.632422,23,"Southeastern Mixed Forest"
"307856",2574036203,"Geraniales","Geraniaceae","Erodium","Erodium cicutarium","","SPECIES","Erodium cicutarium (L.) L'Hér.","Erodium cicutarium","","","Arkansas",35.3737,-94.42482,10,"Southeastern Mixed Forest"
"310686",2238793514,"Geraniales","Geraniaceae","Geranium","Geranium carolinianum","","SPECIES","Geranium carolinianum L.","Geranium carolinianum","","","Arkansas",35.29412,-93.139951,10,"Southeastern Mixed Forest"
"311156",2236244112,"Geraniales","Geraniaceae","Geranium","Geranium dissectum","","SPECIES","Geranium dissectum L.","Geranium dissectum","","","Arkansas",35.298516,-93.169123,9,"Southeastern Mixed Forest"
"3130781",1847493238,"Geraniales","Geraniaceae","Geranium","Geranium carolinianum","","SPECIES","Geranium carolinianum L.","Geranium carolinianum","","","Arkansas",35.272139,-92.810948,6,"Southeastern Mixed Forest"
"3187301",4138389420,"Laurales","Lauraceae","Sassafras","Sassafras albidum","","SPECIES","Sassafras albidum (Nutt.) Nees","Sassafras albidum","","","Arkansas",35.302733,-94.338599,42,"Southeastern Mixed Forest"
"3203151",4103356307,"Laurales","Lauraceae","Sassafras","Sassafras albidum","","SPECIES","Sassafras albidum (Nutt.) Nees","Sassafras albidum","","","Arkansas",35.427672,-94.418288,4,"Southeastern Mixed Forest"
"327889",3953655111,"Laurales","Lauraceae","Sassafras","Sassafras albidum","","SPECIES","Sassafras albidum (Nutt.) Nees","Sassafras albidum (Nutt.) Nees","(Nutt.) Nees","","",35.373789,-94.118191,35,"Southeastern Mixed Forest"
"340605",3112495917,"Laurales","Lauraceae","Sassafras","Sassafras albidum","","SPECIES","Sassafras albidum (Nutt.) Nees","Sassafras albidum","","","Arkansas",35.366208,-93.266663,8,"Southeastern Mixed Forest"
"3447711",2868310769,"Laurales","Lauraceae","Sassafras","Sassafras albidum","","SPECIES","Sassafras albidum (Nutt.) Nees","Sassafras albidum","","","Arkansas",35.304854,-93.143802,17,"Southeastern Mixed Forest"
"344790",2868268753,"Laurales","Lauraceae","Sassafras","Sassafras albidum","","SPECIES","Sassafras albidum (Nutt.) Nees","Sassafras albidum","","","Arkansas",35.30534,-93.1442,50,"Southeastern Mixed Forest"
"347206",2634564463,"Laurales","Lauraceae","Sassafras","Sassafras albidum","","SPECIES","Sassafras albidum (Nutt.) Nees","Sassafras albidum","","","Arkansas",35.322722,-93.995492,5,"Southeastern Mixed Forest"
"350149",2422891242,"Laurales","Lauraceae","Sassafras","Sassafras albidum","","SPECIES","Sassafras albidum (Nutt.) Nees","Sassafras albidum","","","Arkansas",35.305472,-93.144917,10,"Southeastern Mixed Forest"
"352033",2237491248,"Laurales","Lauraceae","Sassafras","Sassafras albidum","","SPECIES","Sassafras albidum (Nutt.) Nees","Sassafras albidum","","","Arkansas",35.292995,-93.124572,5,"Southeastern Mixed Forest"
"352034",2237490292,"Laurales","Lauraceae","Sassafras","Sassafras albidum","","SPECIES","Sassafras albidum (Nutt.) Nees","Sassafras albidum","","","Arkansas",35.292838,-93.124786,5,"Southeastern Mixed Forest"
"356068",4417118199,"Magnoliales","Annonaceae","Asimina","Asimina triloba","","SPECIES","Asimina triloba (L.) Dunal","Asimina triloba","","","Arkansas",35.304521,-93.16598,8,"Southeastern Mixed Forest"
"360753",4121001185,"Magnoliales","Magnoliaceae","Magnolia","Magnolia grandiflora","","SPECIES","Magnolia grandiflora L.","Magnolia grandiflora","","","Arkansas",35.346683,-94.35157,40,"Southeastern Mixed Forest"
"362245",4102734861,"Magnoliales","Magnoliaceae","Magnolia","Magnolia grandiflora","","SPECIES","Magnolia grandiflora L.","Magnolia grandiflora","","","Arkansas",35.301777,-93.727636,3,"Southeastern Mixed Forest"
"3670171",3966413320,"Magnoliales","Magnoliaceae","Magnolia","Magnolia acuminata","","SPECIES","Magnolia acuminata (L.) L.","Magnolia acuminata","","","Arkansas",35.283022,-93.202191,16,"Southeastern Mixed Forest"
"368150",3958731548,"Magnoliales","Magnoliaceae","Liriodendron","Liriodendron tulipifera","","SPECIES","Liriodendron tulipifera L.","Liriodendron tulipifera L.","L.","","",35.425266,-94.373054,14,"Southeastern Mixed Forest"
"369638",3955547725,"Magnoliales","Magnoliaceae","Liriodendron","Liriodendron tulipifera","","SPECIES","Liriodendron tulipifera L.","Liriodendron tulipifera L.","L.","","",35.405802,-93.101587,10,"Southeastern Mixed Forest"
"374200",3892638791,"Magnoliales","Annonaceae","Asimina","Asimina triloba","","SPECIES","Asimina triloba (L.) Dunal","Asimina triloba","","","Arkansas",35.456496,-93.466337,4,"Southeastern Mixed Forest"
"390277",2868399016,"Magnoliales","Magnoliaceae","Liriodendron","Liriodendron tulipifera","","SPECIES","Liriodendron tulipifera L.","Liriodendron tulipifera","","","Arkansas",35.30557,-93.144943,17,"Southeastern Mixed Forest"
"392645",2648218291,"Magnoliales","Magnoliaceae","Liriodendron","Liriodendron tulipifera","","SPECIES","Liriodendron tulipifera L.","Liriodendron tulipifera L.","L.","","",35.282731,-93.118407,12,"Southeastern Mixed Forest"
"392699",2647570377,"Magnoliales","Magnoliaceae","Liriodendron","Liriodendron tulipifera","","SPECIES","Liriodendron tulipifera L.","Liriodendron tulipifera L.","L.","","",35.282754,-93.118451,6,"Southeastern Mixed Forest"
"392823",2646226802,"Magnoliales","Magnoliaceae","Liriodendron","Liriodendron tulipifera","","SPECIES","Liriodendron tulipifera L.","Liriodendron tulipifera L.","L.","","",35.445794,-94.346792,4,"Southeastern Mixed Forest"
"396173",2451645989,"Magnoliales","Magnoliaceae","Magnolia","Magnolia acuminata","","SPECIES","Magnolia acuminata (L.) L.","Magnolia acuminata","","","Arkansas",35.283008,-93.202089,5,"Southeastern Mixed Forest"
"396653",2423212032,"Magnoliales","Magnoliaceae","Liriodendron","Liriodendron tulipifera","","SPECIES","Liriodendron tulipifera L.","Liriodendron tulipifera","","","Arkansas",35.285169,-93.136924,17,"Southeastern Mixed Forest"
"396668",2423182155,"Magnoliales","Magnoliaceae","Liriodendron","Liriodendron tulipifera","","SPECIES","Liriodendron tulipifera L.","Liriodendron tulipifera","","","Arkansas",35.305717,-93.145508,8,"Southeastern Mixed Forest"
"396756",2423099948,"Magnoliales","Annonaceae","Asimina","Asimina triloba","","SPECIES","Asimina triloba (L.) Dunal","Asimina triloba","","","Arkansas",35.304486,-93.165589,50,"Southeastern Mixed Forest"
"396883",2422909067,"Magnoliales","Magnoliaceae","Liriodendron","Liriodendron tulipifera","","SPECIES","Liriodendron tulipifera L.","Liriodendron tulipifera","","","Arkansas",35.305292,-93.145552,5,"Southeastern Mixed Forest"
"396885",2422906963,"Magnoliales","Magnoliaceae","Liriodendron","Liriodendron tulipifera","","SPECIES","Liriodendron tulipifera L.","Liriodendron tulipifera","","","Arkansas",35.305311,-93.145654,5,"Southeastern Mixed Forest"
"396915",2397681866,"Magnoliales","Magnoliaceae","Liriodendron","Liriodendron tulipifera","","SPECIES","Liriodendron tulipifera L.","Liriodendron tulipifera","","","Arkansas",35.305564,-93.147019,5,"Southeastern Mixed Forest"
"396923",2397664744,"Magnoliales","Magnoliaceae","Liriodendron","Liriodendron tulipifera","","SPECIES","Liriodendron tulipifera L.","Liriodendron tulipifera","","","Arkansas",35.305267,-93.145286,5,"Southeastern Mixed Forest"
"396984",2397554907,"Magnoliales","Magnoliaceae","Liriodendron","Liriodendron tulipifera","","SPECIES","Liriodendron tulipifera L.","Liriodendron tulipifera","","","Arkansas",35.305489,-93.146949,10,"Southeastern Mixed Forest"
"398815",2238920515,"Magnoliales","Magnoliaceae","Liriodendron","Liriodendron tulipifera","","SPECIES","Liriodendron tulipifera L.","Liriodendron tulipifera","","","Arkansas",35.30557,-93.146986,5,"Southeastern Mixed Forest"
"417346",4034754416,"Malvales","Malvaceae","Hibiscus","Hibiscus moscheutos","","SPECIES","Hibiscus lasiocarpos Cav.","Hibiscus lasiocarpos","","","Arkansas",35.303873,-94.33482,3,"Southeastern Mixed Forest"
"423670",3960292211,"Malvales","Malvaceae","Abutilon","Abutilon theophrasti","","SPECIES","Abutilon theophrasti Medik.","Abutilon theophrasti Medik.","Medik.","","",35.458002,-93.509148,17,"Southeastern Mixed Forest"
"432680",3925413777,"Malvales","Malvaceae","Modiola","Modiola caroliniana","","SPECIES","Modiola caroliniana (L.) G.Don","Modiola caroliniana","","","Arkansas",35.365853,-94.349725,4,"Southeastern Mixed Forest"
"433088",3923688554,"Malvales","Malvaceae","Sida","Sida spinosa","","SPECIES","Sida spinosa L.","Sida spinosa","","","Arkansas",35.3656,-94.349512,4,"Southeastern Mixed Forest"
"433299",3923386565,"Malvales","Malvaceae","Sida","Sida spinosa","","SPECIES","Sida spinosa L.","Sida spinosa","","","Arkansas",35.365578,-94.349412,4,"Southeastern Mixed Forest"
"4379511",3874019640,"Malvales","Malvaceae","Hibiscus","Hibiscus moscheutos","","SPECIES","Hibiscus lasiocarpos Cav.","Hibiscus lasiocarpos","","","Arkansas",35.457791,-93.475539,4,"Southeastern Mixed Forest"
"439122",3860573939,"Malvales","Malvaceae","Hibiscus","Hibiscus syriacus","","SPECIES","Hibiscus syriacus L.","Hibiscus syriacus","","","Arkansas",35.284157,-94.40201,5,"Southeastern Mixed Forest"
"440613",3858715800,"Malvales","Malvaceae","Modiola","Modiola caroliniana","","SPECIES","Modiola caroliniana (L.) G.Don","Modiola caroliniana","","","Arkansas",35.370122,-94.391717,4,"Southeastern Mixed Forest"
"440720",3858584709,"Malvales","Malvaceae","Modiola","Modiola caroliniana","","SPECIES","Modiola caroliniana (L.) G.Don","Modiola caroliniana","","","Arkansas",35.370103,-94.391595,4,"Southeastern Mixed Forest"
"447048",3468802575,"Malvales","Malvaceae","Hibiscus","Hibiscus moscheutos","","SPECIES","Hibiscus lasiocarpos Cav.","Hibiscus lasiocarpos","","","Arkansas",35.373441,-94.35066,45,"Southeastern Mixed Forest"
"450901",3385200744,"Malvales","Malvaceae","Hibiscus","Hibiscus laevis","","SPECIES","Hibiscus laevis All.","Hibiscus laevis","","","Arkansas",35.29995,-93.162492,11,"Southeastern Mixed Forest"
"453592",3337786640,"Malvales","Malvaceae","Callirhoe","Callirhoe digitata","","SPECIES","Callirhoe digitata Nutt.","Callirhoe digitata","","","Arkansas",35.331713,-94.048073,6,"Southeastern Mixed Forest"
"454536",3333283201,"Malvales","Malvaceae","Hibiscus","Hibiscus moscheutos","","SPECIES","Hibiscus lasiocarpos Cav.","Hibiscus lasiocarpos","","","Arkansas",35.302083,-93.162575,4,"Southeastern Mixed Forest"
"454631",3333124148,"Malvales","Malvaceae","Hibiscus","Hibiscus moscheutos","","SPECIES","Hibiscus lasiocarpos Cav.","Hibiscus lasiocarpos","","","Arkansas",35.469555,-93.442087,6,"Southeastern Mixed Forest"
"466788",2826287000,"Malvales","Malvaceae","Hibiscus","Hibiscus laevis","","SPECIES","Hibiscus laevis All.","Hibiscus laevis","","","Arkansas",35.3471,-94.29663,10,"Southeastern Mixed Forest"
"468995",2641371066,"Malvales","Malvaceae","Callirhoe","Callirhoe pedata","","SPECIES","Callirhoe pedata (Nutt. ex Hook.) A.Gray","Callirhoe pedata","","","Arkansas",35.358336,-93.998589,5,"Southeastern Mixed Forest"
"469869",2626182703,"Malvales","Malvaceae","Hibiscus","Hibiscus syriacus","","SPECIES","Hibiscus syriacus L.","Hibiscus syriacus","","","Arkansas",35.36237,-94.349578,30,"Southeastern Mixed Forest"
"469964",2620189128,"Malvales","Malvaceae","Callirhoe","Callirhoe pedata","","SPECIES","Callirhoe pedata (Nutt. ex Hook.) A.Gray","Callirhoe pedata","","","Arkansas",35.33556,-94.0393,10,"Southeastern Mixed Forest"
"472950",2517959373,"Malvales","Malvaceae","Hibiscus","Hibiscus syriacus","","SPECIES","Hibiscus syriacus L.","Hibiscus syriacus","","","Arkansas",35.362397,-94.349647,5,"Southeastern Mixed Forest"
"473022",2465251877,"Malvales","Malvaceae","Hibiscus","Hibiscus moscheutos","","SPECIES","Hibiscus lasiocarpos Cav.","Hibiscus lasiocarpos","","","Arkansas",35.34835,-94.29002,10,"Southeastern Mixed Forest"
"474857",2350430084,"Malvales","Malvaceae","Hibiscus","Hibiscus syriacus","","SPECIES","Hibiscus syriacus L.","Hibiscus syriacus","","","Arkansas",35.36239,-94.349956,5,"Southeastern Mixed Forest"
"477836",2238794480,"Malvales","Malvaceae","Modiola","Modiola caroliniana","","SPECIES","Modiola caroliniana (L.) G.Don","Modiola caroliniana","","","Arkansas",35.29387,-93.140352,5,"Southeastern Mixed Forest"
"485335",3903002141,"Myrtales","Lythraceae","Ammannia","Ammannia coccinea","","SPECIES","Ammannia coccinea Rottb.","Ammannia coccinea","","","Arkansas",35.395437,-94.369063,3,"Southeastern Mixed Forest"
"486296",4133915601,"Myrtales","Onagraceae","Oenothera","Oenothera speciosa","","SPECIES","Oenothera speciosa Nutt.","Oenothera speciosa","","","Arkansas",35.298313,-93.137742,11,"Southeastern Mixed Forest"
"486304",4165478730,"Myrtales","Onagraceae","Ludwigia","Ludwigia alternifolia","","SPECIES","Ludwigia alternifolia L.","Ludwigia alternifolia","","","Arkansas",35.470612,-94.339081,35,"Southeastern Mixed Forest"
"487077",3912463362,"Myrtales","Onagraceae","Ludwigia","Ludwigia peploides","glabrescens","SUBSPECIES","Ludwigia peploides subsp. glabrescens (Kuntze) P.H.Raven","Ludwigia peploides glabrescens","","","Arkansas",35.365495,-94.350137,4,"Southeastern Mixed Forest"
"4880221",4133990983,"Myrtales","Onagraceae","Oenothera","Oenothera laciniata","","SPECIES","Oenothera laciniata Hill","Oenothera laciniata","","","Arkansas",35.290997,-94.390043,4,"Southeastern Mixed Forest"
"4889651",3915307115,"Myrtales","Onagraceae","Ludwigia","Ludwigia palustris","","SPECIES","Ludwigia palustris (L.) Elliott","Ludwigia palustris","","","Arkansas",35.365587,-94.349412,4,"Southeastern Mixed Forest"
"489235",4407372497,"Myrtales","Onagraceae","Ludwigia","Ludwigia peploides","glabrescens","SUBSPECIES","Ludwigia peploides subsp. glabrescens (Kuntze) P.H.Raven","Ludwigia peploides glabrescens","","","Arkansas",35.366945,-94.348358,4,"Southeastern Mixed Forest"
"491918",3947428769,"Myrtales","Onagraceae","Ludwigia","Ludwigia peploides","glabrescens","SUBSPECIES","Ludwigia peploides subsp. glabrescens (Kuntze) P.H.Raven","Ludwigia peploides glabrescens","","","Arkansas",35.348675,-94.290337,3,"Southeastern Mixed Forest"
"4923161",3925123957,"Myrtales","Onagraceae","Ludwigia","Ludwigia palustris","","SPECIES","Ludwigia palustris (L.) Elliott","Ludwigia palustris","","","Arkansas",35.289612,-94.342347,3,"Southeastern Mixed Forest"
"492480",3925140940,"Myrtales","Onagraceae","Ludwigia","Ludwigia peploides","glabrescens","SUBSPECIES","Ludwigia peploides subsp. glabrescens (Kuntze) P.H.Raven","Ludwigia peploides glabrescens","","","Arkansas",35.289892,-94.342225,4,"Southeastern Mixed Forest"
"4925951",2237490361,"Myrtales","Onagraceae","Oenothera","Oenothera speciosa","","SPECIES","Oenothera speciosa Nutt.","Oenothera speciosa","","","Arkansas",35.293133,-93.124353,5,"Southeastern Mixed Forest"
"493066",4018180711,"Myrtales","Lythraceae","Rotala","Rotala ramosior","","SPECIES","Rotala ramosior (L.) Koehne","Rotala ramosior","","","Arkansas",35.365897,-94.349708,4,"Southeastern Mixed Forest"
"495067",4165880913,"Myrtales","Onagraceae","Ludwigia","Ludwigia palustris","","SPECIES","Ludwigia palustris (L.) Elliott","Ludwigia palustris","","","Arkansas",35.394203,-94.367867,4,"Southeastern Mixed Forest"
"496455",3466130455,"Myrtales","Lythraceae","Lythrum","Lythrum alatum","","SPECIES","Lythrum alatum Pursh","Lythrum alatum","","","Arkansas",35.469525,-93.442117,24,"Southeastern Mixed Forest"
"496649",3912219076,"Myrtales","Onagraceae","Ludwigia","Ludwigia leptocarpa","","SPECIES","Ludwigia leptocarpa (Nutt.) H.Hara","Ludwigia leptocarpa","","","Arkansas",35.365592,-94.350113,3,"Southeastern Mixed Forest"
"496936",4400352166,"Myrtales","Onagraceae","Ludwigia","Ludwigia peploides","","SPECIES","Ludwigia peploides (Kunth) P.H.Raven","Ludwigia peploides","","","Arkansas",35.37133,-94.398413,4,"Southeastern Mixed Forest"
"497017",3925108751,"Myrtales","Onagraceae","Ludwigia","Ludwigia peploides","glabrescens","SUBSPECIES","Ludwigia peploides subsp. glabrescens (Kuntze) P.H.Raven","Ludwigia peploides glabrescens","","","Arkansas",35.365947,-94.348862,3,"Southeastern Mixed Forest"
"497122",3915365051,"Myrtales","Onagraceae","Ludwigia","Ludwigia decurrens","","SPECIES","Ludwigia decurrens Walter","Ludwigia decurrens","","","Arkansas",35.365608,-94.349363,3,"Southeastern Mixed Forest"
"497792",3915363730,"Myrtales","Onagraceae","Ludwigia","Ludwigia decurrens","","SPECIES","Ludwigia decurrens Walter","Ludwigia decurrens","","","Arkansas",35.3656,-94.349388,3,"Southeastern Mixed Forest"
"498501",4177422308,"Myrtales","Onagraceae","Oenothera","Oenothera speciosa","","SPECIES","Oenothera speciosa Nutt.","Oenothera speciosa","","","Arkansas",35.40015,-94.366447,34,"Southeastern Mixed Forest"
"500876",3902567435,"Myrtales","Onagraceae","Ludwigia","Ludwigia decurrens","","SPECIES","Ludwigia decurrens Walter","Ludwigia decurrens","","","Arkansas",35.39548,-94.36895,4,"Southeastern Mixed Forest"
"501368",2366014896,"Myrtales","Onagraceae","Oenothera","Oenothera speciosa","","SPECIES","Oenothera speciosa Nutt.","Oenothera speciosa","","","Arkansas",35.293287,-93.124278,9,"Southeastern Mixed Forest"
"504037",3947338620,"Myrtales","Onagraceae","Ludwigia","Ludwigia peploides","","SPECIES","Ludwigia peploides (Kunth) P.H.Raven","Ludwigia peploides","","","Arkansas",35.352253,-94.379442,4,"Southeastern Mixed Forest"
"504122",2237444141,"Myrtales","Onagraceae","Ludwigia","Ludwigia peploides","","SPECIES","Ludwigia peploides (Kunth) P.H.Raven","Ludwigia peploides","","","Arkansas",35.361372,-93.348864,5,"Southeastern Mixed Forest"
"5069111",3925010132,"Myrtales","Onagraceae","Ludwigia","Ludwigia peploides","glabrescens","SUBSPECIES","Ludwigia peploides subsp. glabrescens (Kuntze) P.H.Raven","Ludwigia peploides glabrescens","","","Arkansas",35.290822,-94.344362,3,"Southeastern Mixed Forest"
"507643",3903016110,"Myrtales","Onagraceae","Ludwigia","Ludwigia peploides","","SPECIES","Ludwigia peploides (Kunth) P.H.Raven","Ludwigia peploides","","","Arkansas",35.395438,-94.369238,4,"Southeastern Mixed Forest"
"507994",3947688779,"Myrtales","Onagraceae","Ludwigia","Ludwigia peploides","glabrescens","SUBSPECIES","Ludwigia peploides subsp. glabrescens (Kuntze) P.H.Raven","Ludwigia peploides glabrescens","","","Arkansas",35.395417,-94.369103,3,"Southeastern Mixed Forest"
"508768",3113448467,"Myrtales","Onagraceae","Oenothera","Oenothera linifolia","","SPECIES","Oenothera linifolia Nutt.","Oenothera linifolia","","","Arkansas",35.35078,-93.33471,10,"Southeastern Mixed Forest"
"509856",3947413752,"Myrtales","Onagraceae","Ludwigia","Ludwigia peploides","glabrescens","SUBSPECIES","Ludwigia peploides subsp. glabrescens (Kuntze) P.H.Raven","Ludwigia peploides glabrescens","","","Arkansas",35.348655,-94.290292,4,"Southeastern Mixed Forest"
"510874",3902891637,"Myrtales","Lythraceae","Ammannia","Ammannia coccinea","","SPECIES","Ammannia coccinea Rottb.","Ammannia coccinea","","","Arkansas",35.348647,-94.290405,3,"Southeastern Mixed Forest"
"516284",3912255920,"Myrtales","Onagraceae","Ludwigia","Ludwigia leptocarpa","","SPECIES","Ludwigia leptocarpa (Nutt.) H.Hara","Ludwigia leptocarpa","","","Arkansas",35.365605,-94.350128,4,"Southeastern Mixed Forest"
"518292",3903459090,"Myrtales","Lythraceae","Rotala","Rotala ramosior","","SPECIES","Rotala ramosior (L.) Koehne","Rotala ramosior","","","Arkansas",35.348653,-94.290353,4,"Southeastern Mixed Forest"
"519099",4138260805,"Myrtales","Onagraceae","Oenothera","Oenothera laciniata","","SPECIES","Oenothera laciniata Hill","Oenothera laciniata","","","Arkansas",35.29044,-94.388236,3,"Southeastern Mixed Forest"
"519552",4091468235,"Myrtales","Onagraceae","Oenothera","Oenothera laciniata","","SPECIES","Oenothera laciniata Hill","Oenothera laciniata","","","Arkansas",35.415762,-94.417078,3,"Southeastern Mixed Forest"
"521346",4028736997,"Myrtales","Lythraceae","Rotala","Rotala ramosior","","SPECIES","Rotala ramosior (L.) Koehne","Rotala ramosior","","","Arkansas",35.365895,-94.34967,3,"Southeastern Mixed Forest"
"521784",3902984283,"Myrtales","Onagraceae","Ludwigia","Ludwigia decurrens","","SPECIES","Ludwigia decurrens Walter","Ludwigia decurrens","","","Arkansas",35.395405,-94.369087,3,"Southeastern Mixed Forest"
