"","gbifID","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","locality","stateProvince","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters"
"402601",1880467719,"Asterales","Asteraceae","Tragopogon","Tragopogon dubius","","SPECIES","Tragopogon dubius Scop.","Tragopogon dubius","","","Washington",47.902227,-117.548149,7
"421970",3892378470,"Asterales","Asteraceae","Hieracium","Hieracium scouleri","","SPECIES","Hieracium scouleri Hook.","Hieracium scouleri","","","Washington",47.918905,-117.111847,4
"432479",3892278776,"Asterales","Asteraceae","Pilosella","Pilosella aurantiaca","","SPECIES","Pilosella aurantiaca (L.) F.W.Schultz & Sch.Bip.","Pilosella aurantiaca","","","Washington",47.891962,-117.103561,4
"436839",3873835419,"Asterales","Asteraceae","Centaurea","Centaurea stoebe","","SPECIES","Centaurea stoebe L.","Centaurea stoebe","","","Washington",47.917713,-117.090569,35
"445706",2864774418,"Asterales","Asteraceae","Solidago","Solidago lepida","salebrosa","VARIETY","Solidago lepida var. salebrosa (Piper) Semple","Solidago lepida salebrosa","","","Washington",47.893483,-117.121353,5
"446739",4127286565,"Asterales","Asteraceae","Tragopogon","Tragopogon dubius","","SPECIES","Tragopogon dubius Scop.","Tragopogon dubius","","","Washington",47.865014,-117.323037,2
"455466",3892280847,"Asterales","Asteraceae","Eurybia","Eurybia conspicua","","SPECIES","Eurybia conspicua (Lindl.) G.L.Nesom","Eurybia conspicua","","","Washington",47.879912,-117.085372,4
"482675",4145555917,"Asterales","Asteraceae","Arnica","Arnica latifolia","","SPECIES","Arnica latifolia Bong.","Arnica latifolia","","","Washington",47.897497,-117.132836,4
"496292",2850746658,"Asterales","Asteraceae","Anaphalis","Anaphalis margaritacea","","SPECIES","Anaphalis margaritacea (L.) Benth.","Anaphalis margaritacea","","","Washington",47.894623,-117.098409,17
"500935",3873283235,"Asterales","Asteraceae","Adenocaulon","Adenocaulon bicolor","","SPECIES","Adenocaulon bicolor Hook.","Adenocaulon bicolor","","","Washington",47.896755,-117.09803,4
"517770",2311350491,"Asterales","Asteraceae","Rudbeckia","Rudbeckia occidentalis","","SPECIES","Rudbeckia occidentalis Nutt.","Rudbeckia occidentalis","","","Washington",47.917768,-117.12208,5
"542085",2311368933,"Asterales","Campanulaceae","Campanula","Campanula rotundifolia","","SPECIES","Campanula rotundifolia L.","Campanula rotundifolia","","","Washington",47.92738,-117.144133,5
"555774",3947436306,"Asterales","Asteraceae","Chondrilla","Chondrilla juncea","","SPECIES","Chondrilla juncea L.","Chondrilla juncea","","","Washington",47.891769,-117.353721,6
"590505",3892283695,"Asterales","Asteraceae","Anaphalis","Anaphalis margaritacea","","SPECIES","Anaphalis margaritacea (L.) Benth.","Anaphalis margaritacea","","","Washington",47.892892,-117.12053,10
"608980",4162350793,"Asterales","Asteraceae","Cichorium","Cichorium intybus","","SPECIES","Cichorium intybus L.","Cichorium intybus","","","Washington",47.888792,-117.381907,7
"615721",3873833613,"Asterales","Asteraceae","Pilosella","Pilosella aurantiaca","","SPECIES","Pilosella aurantiaca (L.) F.W.Schultz & Sch.Bip.","Pilosella aurantiaca","","","Washington",47.89602,-117.11628,4
"618862",3902237372,"Asterales","Asteraceae","Centaurea","Centaurea stoebe","","SPECIES","Centaurea stoebe L.","Centaurea stoebe","","","Washington",47.882036,-117.084769,15
"635496",2864762057,"Asterales","Asteraceae","Tanacetum","Tanacetum vulgare","","SPECIES","Tanacetum vulgare L.","Tanacetum vulgare","","","Washington",47.903186,-117.101311,5
"647350",4399943394,"Asterales","Asteraceae","Anaphalis","Anaphalis margaritacea","","SPECIES","Anaphalis margaritacea (L.) Benth.","Anaphalis margaritacea","","","Washington",47.919747,-117.123827,8
"665264",2311368235,"Asterales","Asteraceae","Anaphalis","Anaphalis margaritacea","","SPECIES","Anaphalis margaritacea (L.) Benth.","Anaphalis margaritacea","","","Washington",47.880092,-117.134139,10
"683042",3859564900,"Asterales","Campanulaceae","Campanula","Campanula rotundifolia","","SPECIES","Campanula rotundifolia L.","Campanula rotundifolia","","","Washington",47.800553,-117.118072,5
"694556",2294478846,"Asterales","Asteraceae","Pilosella","Pilosella aurantiaca","","SPECIES","Pilosella aurantiaca (L.) F.W.Schultz & Sch.Bip.","Pilosella aurantiaca","","","Washington",47.87762,-117.135208,5
"695812",3892366659,"Asterales","Asteraceae","Madia","Madia glomerata","","SPECIES","Madia glomerata Hook.","Madia glomerata","","","Washington",47.891913,-117.094667,9
"737454",2850869707,"Asterales","Asteraceae","Anaphalis","Anaphalis margaritacea","","SPECIES","Anaphalis margaritacea (L.) Benth.","Anaphalis margaritacea","","","Washington",47.923196,-117.100424,7
"753686",3889148648,"Asterales","Asteraceae","Ionactis","Ionactis stenomeres","","SPECIES","Ionactis stenomeres (A.Gray) Greene","Ionactis stenomeres","","","Washington",47.887103,-117.075451,47
"760512",2864734205,"Asterales","Asteraceae","Madia","Madia glomerata","","SPECIES","Madia glomerata Hook.","Madia glomerata","","","Washington",47.903175,-117.101136,10
"775450",4400119369,"Asterales","Asteraceae","Anaphalis","Anaphalis margaritacea","","SPECIES","Anaphalis margaritacea (L.) Benth.","Anaphalis margaritacea","","","Washington",47.89647,-117.100361,4
"778057",4006757488,"Asterales","Asteraceae","Centaurea","Centaurea stoebe","","SPECIES","Centaurea stoebe L.","Centaurea stoebe","","","Washington",47.902917,-117.115914,4
"784518",3873373551,"Asterales","Asteraceae","Pilosella","Pilosella aurantiaca","","SPECIES","Pilosella aurantiaca (L.) F.W.Schultz & Sch.Bip.","Pilosella aurantiaca","","","Washington",47.864667,-117.161714,5
"792333",2311393802,"Asterales","Asteraceae","Hieracium","Hieracium scouleri","","SPECIES","Hieracium scouleri Hook.","Hieracium scouleri","","","Washington",47.910949,-117.107359,33
"824581",3903049288,"Asterales","Asteraceae","Eurybia","Eurybia conspicua","","SPECIES","Eurybia conspicua (Lindl.) G.L.Nesom","Eurybia conspicua","","","Washington",47.886356,-117.0755,21
"836197",4116241443,"Asterales","Asteraceae","Wyethia","Wyethia sagittata","","SPECIES","Balsamorhiza sagittata (Pursh) Nutt.","Balsamorhiza sagittata","","","Washington",47.916213,-117.587468,6
"870539",3873833575,"Asterales","Asteraceae","Pilosella","Pilosella aurantiaca","","SPECIES","Pilosella aurantiaca (L.) F.W.Schultz & Sch.Bip.","Pilosella aurantiaca","","","Washington",47.899625,-117.139305,4
"883527",4153787579,"Asterales","Asteraceae","Anthemis","Anthemis cotula","","SPECIES","Anthemis cotula L.","Anthemis cotula","","","Washington",47.888797,-117.381904,7
"898934",2311394936,"Asterales","Asteraceae","Ionactis","Ionactis stenomeres","","SPECIES","Ionactis stenomeres (A.Gray) Greene","Ionactis stenomeres","","","Washington",47.91818,-117.117818,17
"901485",3902821854,"Asterales","Asteraceae","Erigeron","Erigeron strigosus","","SPECIES","Erigeron strigosus Muhl. ex Willd.","Erigeron strigosus","","","Washington",47.901455,-117.138908,4
"910852",4407396506,"Asterales","Asteraceae","Achillea","Achillea millefolium","","SPECIES","Achillea millefolium L.","Achillea millefolium","","","Washington",47.923267,-117.112739,3
